Location,NameHotel,RatingHotel,CountRating,Price,Facilities,Quality,DistanceCenter,Around,Vicinity,Link
Huế,Hotel La Perle,9.1,786,450000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Dịch vụ phòng, Bữa sáng tuyệt vời",3,1,"Cầu, Cafe/quán bar","Cầu, Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/la-perle.vi.html
Huế,White Lotus Hue Hotel,9,941,1540443,"Hồ bơi ngoài trời, WiFi miễn phí, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, Chỗ đỗ xe miễn phí, 2 nhà hàng, Quầy bar, Bữa sáng tuyệt hảo",4,0.2,"Cầu, Cafe/quán bar","Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/white-lotus-amp-convention-center-hue.vi.html
Huế,SOLEIL BOUTIQUE,9,671,600000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe, Bữa sáng rất tốt",3,0.8,"Bảo tàng, Cầu, Di tích, Cafe/quán bar","Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/soleil-boutique-thanh-pho-hue.vi.html
Huế,Pilgrimage Village Boutique Resort & Spa,9.4,973,2116800,"2 hồ bơi, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Trung tâm thể dục, 2 nhà hàng, Quầy bar, Bữa sáng tuyệt vời",5,4.2,Cafe/quán bar,"Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/pilgrimage-village-hue-boutique-resort-spa.vi.html
Huế,Hue Four Seasons Hotel,9.4,662,380000,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Nhà hàng, Tiện nghi cho khách khuyết tật, Dịch vụ phòng, Bữa sáng rất tốt",0,1.2,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/hue-four-seasons-hue.vi.html
Huế,Jade Scene Hotel,9.3,1647,1076400,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Quầy bar, Bữa sáng rất tốt",3,1.1,"Cầu, Cafe/quán bar","Cầu, Bảo tàng, Di tích, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/jade-scene.vi.html
Huế,Sunny A Hotel,8.8,836,270000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng",2,0.35,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/sunny-hue.vi.html
Huế,Hue Sweethouse 1 Homestay,8.9,843,466000,"WiFi nhanh miễn phí , Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Dịch vụ phòng, Bữa sáng tuyệt vời",0,0.35,"Cầu, Cafe/quán bar","Di tích, Bảo tàng, Tàu lửa, Sân bay",https://www.booking.com/hotel/vn/hue-sweethouse-homestay-thanh-pho-hue.vi.html
Đà Lạt,Redhouse Dalat Hotel,8.9,862,180000,"WiFi miễn phí, Chỗ đỗ xe, Phòng gia đình, Phòng không hút thuốc, Sân vườan, Sân thượng / hiên",0,1.2,"Quảng trường, Công viên, Cafe/quán bar","Di tích, Bảo tàng, Vườn hoa, Núi",https://www.booking.com/hotel/vn/redhouse.vi.html
Đà Lạt,Terracotta Hotel & Resort Dalat,8.3,775,2652829,"Hồ bơi trong nhà, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Trung tâm thể dục, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Quầy bar, Bữa sáng tốt",4,5.3,Cafe/quán bar,Di tích,https://www.booking.com/hotel/vn/terracotta-amp-resort-dalat.vi.html
Đà Lạt,M Hotel Đà Lạt,8.3,500,729000,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Lễ tân 24 giờ, Sân vườn, Dịch vụ phòng, Tiện nghi BBQ, Sân thượng / hiên",0,1.3,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/m-thanh-pho-da-lat.vi.html
Đà Lạt,Khanh Uyen 1 Hotel,8.2,507,236245,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Dịch vụ phòng",2,3.1,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/m-thanh-pho-da-lat.vi.html
Đà Lạt,Kings Hotel Dalat,7.3,567,1845000,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Nhà hàng, Dịch vụ phòng, Quầy bar, Bữa sáng tốt",4,0.4,"Quảng trường, Công viên, Cafe/quán bar","Bảo tàng, Vườn hoa, Di tích, Núi",https://www.booking.com/hotel/vn/best-king-dalat2.vi.html
Đà Lạt,Hôtel Colline,8.1,517,2258534,"WiFi miễn phí, Phòng gia đình, Dịch vụ đưa đón sân bay (miễn phí), Trung tâm thể dục, Phòng không hút thuốc, Lễ tân 24 giờ, 2 nhà hàng, Sân vườn, Quầy bar, Bữa sáng",4,0.2,"Quảng trường, Cafe/quán bar","Công viên, Vườn hoa, Di tích, Núi",https://www.booking.com/hotel/vn/colline.vi.html
Đà Lạt,Arapang Hotel 2,8,718,269730,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Dịch vụ phòng",2,0.25,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/arapang-2-thanh-pho-da-lat.vi.html
Đà Lạt,Lovely House,8.2,681,379313,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Nhà hàng, Sân vườn, Dịch vụ phòng, Quầy bar",2,0.5,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/lovely-house-da-lat.vi.html
Đà Lạt,An Gia,9.4,521,495000,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Dịch vụ phòng",3,0.35,"Quảng trường, Cafe/quán bar","Công viên, Vườn hoa, Bảo tàng, Di tích, Núi",https://www.booking.com/hotel/vn/an-gia-thanh-pho-da-lat.vi.html
Đà Lạt,VES - PA Luxury Hotel,9.7,539,300000,"Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Lễ tân 24 giờ, Dịch vụ phòng, Sân thượng / hiên",2,2.4,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/ves-pa-luxury.vi.html
Đà Lạt,AN Boutique Hotel - STAY 24H,8.8,1260,343613,"WiFi miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Dịch vụ phòng, Sân thượng / hiên",3,2.3,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/raon-villa-da-lat.vi.html
Đà Lạt,TTR An Nam Apart Hotel,8.6,629,336000,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Dịch vụ phòng, Sân thượng / hiên",3,1.4,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/an-nam-dalat.vi.html
Đà Lạt,Khanh Uyen 3 Hotel,8.1,881,228233,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Sân vườn, Dịch vụ phòng, Sân thượng / hiên",3,0.25,"Quảng trường, Cafe/quán bar","Công viên, Vườn hoa, Bảo tàng, Di tích, Núi",https://www.booking.com/hotel/vn/khanh-uyen-3.vi.html
Đà Lạt,Hostel-John Cafe and Beer,9.1,625,70000,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Phòng không hút thuốc, Lễ tân 24 giờ, Sân vườn, Sân thượng / hiên, Quầy bar",0,3.6,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/homestay-john-cafe-and-beer.vi.html
Đà Lạt,Raon Villa - STAY 24H,9.2,1002,359975,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Sân vườn, Dịch vụ phòng, Sân thượng / hiên, Tiện nghi cho khách khuyết tật",3,3.8,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/raon-valley-villa.vi.html
Đà Lạt,Bazan Hotel Dalat - STAY 24H,9,1737,306961,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Sân vườn, Dịch vụ phòng, Tiện nghi BBQ, Tiện nghi cho khách khuyết tật",3,1.8,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/bazan-hotel-dalat.vi.html
Đà Lạt,Vuon Xuan Hotel - STAY 24H,9,653,336740,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Sân vườn, Dịch vụ phòng, Tiện nghi BBQ, Sân thượng / hiên",3,1.8,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/vuon-xuan-thanh-pho-da-lat.vi.html
Đà Lạt,Raon Dalat - STAY 24H,9.2,1203,343613,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Phòng không hút thuốc, Lễ tân 24 giờ, Sân vườn, Dịch vụ phòng, Tiện nghi BBQ, Sân thượng / hiên",3,2.2,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/raon-valley-villa.vi.html
Đà Lạt,Tigon Dalat Hostel,9,1369,50000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng không hút thuốc, Sân vườn, Sân thượng / hiên, Quầy bar",0,1.7,"Công viên, Quảng trường, Bảo tàng, Cafe/quán bar","Vườn hoa, Di tích, Núi",https://www.booking.com/hotel/vn/tigon-dalat-hostel-thanh-pho-da-lat12.vi.html
Đà Lạt,TTR Studio Apart Hotel,8.6,465,504285,"WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Lễ tân 24 giờ, Nhà hàng, Sân vườn, Bữa sáng",3,1.6,Cafe/quán bar,"Vườn hoa, Quảng trường, Bảo tàng, Công Viên, Di tích, Núi",https://www.booking.com/hotel/vn/ttr-studio.vi.html
Đà Nẵng,The Secret Garden,7.6,713,370308,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Lễ tân 24 giờ, Sân thượng / hiên, Quầy bar",0,0.9,"Cầu, Bảo tàng, Cafe/quán bar, Sông","Cầu, Cánh đồng, Khu giải trí, Công viên, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/the-secret-garden.vi.html
Đà Nẵng,Cherry Hotel & Apartment Da Nang - Phoenix 2 Hotel,8.1,1261,5497000,"3 hồ bơi, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Nhà hàng, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Quầy bar",4,4.7,"Cafe/quán bar, Sông, Biển","Khu giải trí, Cầu, Bảo tàng, Núi, Biển, Sân bay",https://www.booking.com/hotel/vn/da-nang-sunlit-sea-amp-apartment.vi.html
Đà Nẵng,Raon Hotel - STAY 24H,9.3,505,304722,"Hồ bơi trong nhà, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Lễ tân 24 giờ, Tiện nghi cho khách khuyết tật, Thang máy",4,3.5,"Cafe/quán bar, Sông, Biển","Khu giải trí, Cầu, Bảo tàng, Cánh đồng, Công viên, Núi, Biển, Xe buýt, Sân Bay",https://www.booking.com/hotel/vn/dominika-1bdr-apartment.vi.html
Đà Nẵng,Sala Danang Beach Hotel,9,1548,1596000,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Phòng không hút thuốc, Quầy bar, Bữa sáng tuyệt vời",4,3.9,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Khu giải trí, Cánh đồng, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/sala-danang-beach.vi.html
Đà Nẵng,Mercure Danang French Village Bana Hills,8.3,2318,2890570,"Hồ bơi trong nhà, WiFi miễn phí, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Phòng không hút thuốc, 5 nhà hàng, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Bữa sáng tuyệt vời",4,26.2,Núi,"Công viên, Núi",https://www.booking.com/hotel/vn/french-village-ba-na-hills-mountain-resort.vi.html
Đà Nẵng,HAIAN Beach Hotel & Spa,8.9,1115,1407274,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Phòng không hút thuốc, Quầy bar, Bữa sáng rất tốt",4,5.4,"Cafe/quán bar, Biển","Khu giải trí, Cầu, Bảo tàng, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/hai-an-beach-amp-spa.vi.html
Đà Nẵng,Sofiana My Khe Hotel & Spa,9,1427,773500,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Lễ tân 24 giờ, Sân thượng / hiên, Bữa sáng rất tốt",4,3.7,"Cafe/quán bar, Biển","Khu giải trí, Cầu, Bảo tàng, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/sofiana-my-khe-amp-spa.vi.html
Đà Nẵng,Palmier Hotel - Art House Da Nang,8.2,873,635040,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Dịch vụ phòng, Lễ tân 24 giờ, Sân thượng / hiên, Tiện nghi cho khách khuyết tật, Tiện nghi BBQ",3,2.8,"Cầu, Cafe/quán bar, Sông","Cầu, Bảo tàng, Cánh đồng, Khu giả trí, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/academy.vi.html
Đà Nẵng,Phuc Thanh Luxury Hotel,8.8,753,450886,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Lễ tân 24 giờ, Quầy bar",3,3.4,"Cafe/quán bar, Sông, Biển","Khu giải trí, Cầu, Bảo tàng, Cánh đồng, Núi, Biển, Sân bay",https://www.booking.com/hotel/vn/phuc-thanh-minh-danang.vi.html
Đà Nẵng,Halina Hotel and Apartment,9.2,1571,715716,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Phòng không hút thuốc, Nhà hàng, Quầy bar, Bữa sáng tốt",4,5.3,"Cafe/quán bar, Sông, Biển","Khu giải trí, Cầu, Bảo tàng, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/halina-and-apartment.vi.html
Đà Nẵng,Everland Hotel,8.4,870,481200,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Phòng không hút thuốc, Nhà hàng, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng",4,3.4,"Cafe/quán bar, Sông, Biển","Cầu, Bảo tràng, Cánh đồng, Khu giải trí, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/everland.vi.html
Đà Nẵng,Rosetta Hotel Danang,8.3,1350,1800000,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Phòng không hút thuốc, 2 nhà hàng, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Lễ tân 24 giờ, Sân thượng / hiên",3,2.5,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Khu giải trí, Cánh đồng, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/everland.vi.html
Đà Nẵng,Minh Boutique,9.5,1553,1539000,"Hồ bơi ngoài trời, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Nhà hàng, Chỗ đỗ xe miễn phí, Quầy bar, Bữa sáng tuyệt hảo",0,2.4,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Khu giải trí, Cánh đồng, Công viên, Sông, Núi, Biển, Xe Buýt, Sân bay",https://www.booking.com/hotel/vn/minh-boutique.vi.html
Đà Nẵng,Le House Boutique Hotel,8.3,879,308843,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Lễ tân 24 giờ, Thang máy, Bữa sáng tuyệt vời",4,2.7,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Khu giải trí, Cánh đồng, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/le-house-boutique.vi.html
Đà Nẵng,Thanh Hoang Chau Hotel Da Nang,7.9,871,236500,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Lễ tân 24 giờ, Sân thượng / hiên, Bữa sáng tuyệt hảo",3,0.95,"Bảo tàng, Cầu, Cafe/quán bar, Sông","Cầu, Khu giải trí, Cánh đồng, Công viên, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/thanh-hoang-chau.vi.html
Đà Nẵng,Alibaba Hotel,8.9,712,366300,"Hồ bơi ngoài trời, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Phòng không hút thuốc, Nhà hàng, Dịch vụ phòng, Máy pha trà/cà phê trong tất cả các phòng, Quầy bar, Bữa sáng xuất sắc",3,2.6,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Khu giải trí, Cánh đồng, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/ali-beach.vi.html
Đà Nẵng,Sea Castle 2 Hotel Da Nang,8.3,864,227747,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Nhà hàng, Chỗ đỗ xe miễn phí, Khu vực bãi tắm riêng, Bữa sáng tuyệt hảo",4,2.7,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Khu giả trí, Cánh đồng, Sông, Núi, Biển, Sân bay",https://www.booking.com/hotel/vn/sundc-hotel.vi.html
Đà Nẵng,TMS Hotel Da Nang Beach,9,869,1952500,"Hồ bơi ngoài trời, WiFi miễn phí, Phòng gia đình, Giáp biển, Trung tâm Spa & chăm sóc sức khoẻ, Trung tâm thể dục, Phòng không hút thuốc, 3 nhà hàng, Quầy bar, Bữa sáng rất tốt",5,3.6,"Cafe/quán bar, Biển","Khu giải trí, Cầu, Bảo tàng, Cánh đông, Sông, Núi, Biển, Sân bay",https://www.booking.com/hotel/vn/tms-luxury-danang-beach.vi.html
Đà Nẵng,Sekong Hotel Da Nang,8.4,896,498750,"WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Giáp biển, Phòng không hút thuốc, Nhà hàng, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Quầy bar, Bữa sáng tốt",3,2.8,"Cafe/quán bar, Biển","Cầu, Bảo tàng, Cánh đồng, Khu giải trí, Sông, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/sekong-da-nang.vi.html
Đà Nẵng,Flower Boutique Hotel,8.3,1099,258720,"2 hồ bơi, WiFi miễn phí, Xe đưa đón sân bay, Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Chỗ đỗ xe miễn phí, Dịch vụ phòng, Lễ tân 24 giờ, Quầy bar",4,3.4,"Cafe/quán bar, Sông, Biển","Khu giải trí, Cầu, Bảo tàng, Cánh đồng, Núi, Biển, Xe buýt, Sân bay",https://www.booking.com/hotel/vn/flower-da-nang.vi.html
Vũng Tàu,Vias Hotel Vung Tau,8.8,731,1755208,"Hồ bơi ngoài trời, WiFi miễn phí, Chỗ đỗ xe miễn phí, Phòng gia đình, Xe đưa đón sân bay, Trung tâm thể dục, Trung tâm Spa & chăm sóc sức khoẻ, Phòng không hút thuốc, Quầy bar, Bữa sáng tuyệt vời",5,2,"Công viên, Biển","Công viên, Biển, Khu cắm trại, Di tích, Sân bay, Tượng đài, Hải đăng, Cafe/quán bar",https://www.booking.com/hotel/vn/vias-hotel.vi.html
